Engine_Type,MTOW_kg,Range_km,Fuel_Consumption_Rate_kg_hr,Cruise_Speed_knots,Cruising_Altitude_ft,Climb_Rate_ft_min,Descent_Rate_ft_min,Landing_Weight_kg,Engine_Efficiency_TSFC,Aerodynamic_Efficiency_LD,Payload_kg,ETOPS_min,APU_Fuel_kg_hr,Wing_Span_m,Fuel_Capacity_L,Flap_Slat_Degrees,Avionics
Jet,196263.06,2000.0,1000.0,405.14,34471.52,2787.61,1895.1,178840.31,0.65,15.91,42642.38,120,38.94,30.0,47486.59,13.22,Modern
Jet,139378.96,2000.0,1000.0,436.83,35648.2,2026.9,1325.43,115232.91,0.6,16.11,60849.3,240,62.64,44.2,43764.74,28.32,Modern
Turboprop,18431.36,995.93,1000.0,267.92,18723.0,1519.36,837.98,16104.8,0.4,15.31,5227.39,0,16.02,30.0,3759.0,38.92,Modern
Jet,86600.71,10498.34,1000.0,396.11,36029.48,2311.47,1539.79,71794.72,0.61,12.85,34018.97,330,42.65,30.0,22375.16,21.45,Modern
Jet,150278.64,6943.46,1000.0,403.15,38748.05,1610.38,980.65,140688.39,0.51,19.37,43001.58,240,-12.33,80.0,38581.97,13.78,Modern
Jet,101559.76,12040.3,9450.82,412.41,39609.6,1863.67,1093.83,86233.13,0.75,13.63,38029.98,60,41.12,80.0,26806.26,6.73,Modern
Jet,88258.91,5014.39,4547.61,431.76,36000.05,2073.9,1220.27,76371.79,0.54,13.61,18976.16,60,5.68,30.0,30043.13,10.06,Modern
Turboprop,19022.83,500.0,1000.0,205.7,22115.6,1340.36,907.47,16726.67,0.38,10.7,8348.93,0,31.36,15.0,4523.72,17.27,Modern
Jet,155260.0,11045.05,1000.0,431.8,29260.0,2309.95,1310.14,144266.5,0.75,11.23,74893.93,60,54.31,30.0,56107.03,17.82,Legacy
Jet,105793.44,15000.0,7761.08,369.97,32525.44,1696.48,901.45,92236.66,0.66,17.9,45510.59,60,63.69,80.0,22677.28,36.21,Modern
Jet,75241.24,2000.0,1000.0,383.8,40422.89,2820.71,1571.46,60292.67,0.56,16.58,36287.64,180,52.73,80.0,20000.0,20.99,Modern
Jet,100174.0,2000.0,1000.0,411.11,31297.17,1315.82,1049.02,86297.48,0.53,20.17,35955.7,240,23.4,80.0,28336.66,12.87,Modern
Turboprop,20370.02,1826.65,1000.0,235.29,17467.62,2026.15,1068.43,18158.55,0.43,14.75,6970.13,0,14.36,15.0,4964.4,26.45,Legacy
Jet,82218.92,2000.0,1000.0,493.88,36054.99,2284.32,1549.31,77250.56,0.59,14.13,21677.36,330,75.46,30.0,28666.37,36.45,Legacy
Jet,93142.46,5578.09,6303.02,402.79,34796.01,1842.94,1043.04,84887.11,0.66,17.38,28920.09,240,57.92,30.0,52660.18,17.76,Legacy
Piston,4824.24,319.66,200.0,138.51,10168.65,935.27,729.86,4136.09,0.5,14.03,1610.5,0,-3.65,15.0,803.23,22.59,Modern
Piston,8178.86,300.0,200.0,99.66,9360.59,676.63,434.93,6893.08,0.52,12.66,3977.41,0,28.3,15.0,100.0,17.58,Modern
Turboprop,15471.01,500.0,342.24,230.89,21482.03,1413.55,909.43,14622.88,0.41,10.81,3949.91,0,33.99,30.0,3395.82,17.72,Modern
Jet,153093.72,15000.0,10000.0,473.96,35429.3,1500.85,1178.25,130584.45,0.58,15.78,57187.35,120,59.66,30.0,42076.77,13.16,Modern
Jet,95672.86,3439.16,7200.44,459.19,40219.16,2019.82,1528.94,87998.09,0.59,18.0,23299.52,330,48.1,30.0,31658.53,19.68,Modern
Turboprop,17539.41,1614.08,111.84,254.25,19242.67,1615.9,946.05,15937.91,0.31,13.75,7467.26,0,13.85,30.0,1864.3,7.44,Legacy
Jet,99944.62,2000.0,1000.0,408.18,35956.57,1999.78,1003.37,83162.92,0.56,17.1,43800.61,330,33.24,30.0,26928.75,8.1,Legacy
Jet,125565.23,7595.57,10000.0,498.08,38447.08,1688.22,971.96,113098.95,0.65,16.18,25812.13,180,69.79,30.0,24557.55,16.43,Modern
Jet,140842.98,10205.41,10000.0,424.22,35560.03,1743.27,933.34,128677.88,0.46,16.04,52562.95,180,66.83,80.0,58298.73,35.59,Legacy
Jet,90376.48,2000.0,1000.0,449.54,35182.36,2963.14,1985.55,72894.5,0.56,15.46,28871.94,330,75.85,80.0,39831.57,20.91,Modern
Piston,4362.81,1166.81,200.0,143.17,9978.09,775.81,506.79,3989.9,0.45,8.85,1475.07,0,33.45,8.0,100.0,4.64,Modern
Jet,138666.96,4508.54,1000.0,420.74,37959.53,2207.79,1372.21,128271.22,0.73,16.66,67752.42,60,47.53,30.0,29491.21,22.23,Modern
Turboprop,15970.95,1966.92,50.0,271.53,22536.27,1733.3,1304.89,14431.35,0.36,16.19,4644.74,0,3.59,15.0,2319.18,19.78,Modern
Jet,113732.87,15000.0,5387.55,523.28,32478.51,1752.49,1327.89,106171.6,0.61,16.15,25364.5,330,49.76,80.0,21232.01,24.37,Modern
Jet,70659.31,9141.24,10000.0,410.5,37078.45,1858.15,1170.49,64743.14,0.67,15.1,28157.91,180,46.14,30.0,20000.0,12.44,Modern
Jet,138240.52,2000.0,10000.0,419.2,39851.13,1614.79,1256.06,129193.66,0.66,13.74,43359.81,120,55.24,80.0,61651.11,5.62,Modern
Jet,85561.95,2000.0,1739.88,507.71,31897.51,2418.19,1364.22,72298.38,0.47,15.77,34067.32,330,65.97,30.0,33023.75,24.59,Legacy
Piston,6636.95,956.96,200.0,115.91,8943.21,972.91,501.74,5622.94,0.56,10.43,3216.24,0,28.72,15.0,507.08,27.04,Modern
Turboprop,21635.85,3000.0,967.29,265.32,20403.48,1659.11,1111.5,18802.62,0.39,11.84,9721.81,0,8.2,15.0,6286.77,0.62,Modern
Piston,6272.45,1347.48,150.47,131.48,10245.94,771.54,471.04,5688.23,0.52,12.33,2596.22,0,18.88,15.0,610.15,16.25,Modern
Turboprop,17736.55,3000.0,1000.0,269.33,20292.95,1657.0,1232.69,16480.58,0.36,11.79,6257.22,0,16.23,15.0,3887.86,21.29,Modern
Jet,93016.24,12346.33,4016.29,442.24,27721.05,2411.22,1523.87,79727.27,0.49,9.18,31725.09,180,42.98,30.0,30872.73,30.76,Modern
Piston,5359.22,1273.2,200.0,90.64,9850.4,915.97,730.81,4335.38,0.5,12.37,1584.2,0,19.23,8.0,283.02,16.4,Modern
Jet,17088.59,3792.05,1000.0,435.67,33867.7,2615.87,1975.99,14819.07,0.69,17.28,7394.17,180,30.26,30.0,20000.0,27.16,Modern
Jet,64365.15,2000.0,1000.0,464.94,36905.76,1817.85,1145.36,58632.06,0.75,16.26,16319.48,240,23.01,30.0,21826.59,30.28,Modern
Jet,126227.43,9753.55,6299.45,434.48,37941.05,1084.77,848.42,114112.13,0.43,15.19,46243.9,60,56.26,80.0,40293.24,25.69,Modern
Jet,101972.13,11059.81,7826.11,469.04,39028.17,2132.58,1106.52,86956.25,0.49,12.64,37802.4,60,59.29,80.0,35814.09,29.58,Legacy
Jet,103610.75,2000.0,10000.0,471.85,34931.12,1909.67,1333.6,93929.17,0.5,14.34,22088.93,240,40.01,30.0,20600.08,17.29,Modern
Jet,120072.56,2000.0,1000.0,442.48,33010.51,2103.93,1329.77,100868.05,0.56,15.94,27998.03,120,75.44,80.0,37647.9,25.11,Modern
Turboprop,35748.24,3000.0,697.45,281.57,18136.96,1270.9,816.31,32745.23,0.4,11.54,10915.48,0,29.81,30.0,2526.32,22.15,Legacy
Jet,88392.12,8297.88,3284.67,446.59,34209.73,1848.87,1063.59,75197.08,0.6,12.34,26266.18,180,58.56,80.0,38031.57,25.46,Legacy
Jet,147965.46,11880.95,10000.0,508.6,36663.28,1807.91,1037.0,124198.17,0.49,16.37,72464.23,240,35.24,30.0,52746.38,28.28,Modern
Jet,41487.63,4804.43,1000.0,448.82,34176.27,2189.11,1570.38,33432.16,0.47,12.32,11976.64,60,67.86,30.0,20000.0,37.8,Legacy
Jet,142214.81,6775.19,1000.0,502.23,36510.44,2368.33,1348.93,126124.75,0.47,16.14,30435.3,180,47.09,80.0,44535.89,17.7,Modern
Turboprop,21736.99,1306.26,1000.0,259.98,21119.66,1571.29,975.86,20190.99,0.34,10.26,6845.41,0,16.43,15.0,3159.67,34.86,Modern
Jet,91809.36,2750.2,1839.38,500.67,38880.11,2210.97,1352.1,83892.49,0.56,17.96,25084.92,120,38.74,80.0,23952.84,39.26,Modern
Piston,7406.79,1500.0,20.0,136.17,9870.42,1126.91,707.28,6146.92,0.48,12.88,3011.52,0,34.25,8.0,232.02,11.29,Modern
Turboprop,19903.41,1794.55,1000.0,297.65,18630.03,1740.35,1106.46,16362.41,0.44,9.09,9242.33,0,31.7,30.0,4973.24,23.61,Modern
Jet,91853.25,7332.61,10000.0,402.74,34244.46,1634.57,1101.95,82894.07,0.54,11.78,25714.24,60,64.54,30.0,29942.33,30.5,Modern
Jet,155054.3,2000.0,10000.0,412.37,40100.58,2412.41,1797.85,134844.59,0.47,15.09,54631.1,240,65.48,30.0,49184.66,35.6,Legacy
Turboprop,19962.6,2402.1,50.0,240.95,17031.12,1883.48,1428.68,16023.09,0.4,12.63,4142.06,0,8.71,15.0,5782.76,15.98,Legacy
Turboprop,19146.12,500.0,1000.0,241.51,19272.35,1653.69,893.02,15409.14,0.41,10.22,7771.63,0,24.56,15.0,6223.75,2.34,Modern
Turboprop,18164.63,500.0,1000.0,294.75,21449.66,1776.89,1195.9,16051.11,0.37,11.5,5504.41,0,8.45,15.0,6339.7,16.04,Legacy
Turboprop,23551.49,1817.78,50.0,200.07,20466.6,1936.38,1147.32,22371.57,0.37,10.99,10959.66,0,8.43,30.0,1130.97,21.74,Legacy
Jet,138437.16,2000.0,1000.0,455.36,33500.39,1829.45,1353.79,127444.08,0.65,14.71,57121.45,240,63.15,30.0,25914.22,20.29,Legacy
Jet,73650.18,14827.36,1000.0,410.2,36469.76,2040.41,1330.17,68932.01,0.58,14.35,27856.81,330,66.69,30.0,29917.94,4.86,Legacy
Jet,115655.45,2000.0,1000.0,466.46,26843.08,2035.81,1301.19,107131.16,0.62,15.3,30859.72,60,81.99,80.0,40914.2,13.51,Modern
Turboprop,14374.49,500.0,50.0,239.46,19374.25,1266.36,908.31,12621.94,0.34,12.22,4454.63,0,2.4,30.0,3042.46,19.82,Modern
Turboprop,23253.71,1777.99,426.17,252.16,23423.12,1270.91,1002.04,20445.89,0.34,11.66,10313.35,0,-0.07,30.0,7265.19,30.36,Modern
Jet,113932.39,2000.0,8877.2,442.0,33844.71,1607.08,819.64,94001.62,0.56,17.34,35970.16,240,45.68,30.0,27328.34,8.26,Legacy
Jet,110018.95,4717.84,4773.59,364.54,36175.09,1955.4,1023.22,92661.94,0.71,15.89,22746.17,240,34.17,80.0,20000.0,34.26,Modern
Jet,118237.5,12829.53,7234.44,443.46,38058.79,2006.14,1108.39,95901.78,0.6,11.31,55206.05,60,60.75,30.0,47916.3,39.95,Modern
Jet,103891.69,14256.33,1000.0,481.13,36956.68,2484.06,1328.36,85798.62,0.36,11.27,23281.6,240,71.61,30.0,20000.0,35.48,Modern
Turboprop,15759.85,2786.37,193.73,254.36,19260.34,1570.7,1202.42,14652.17,0.48,10.75,3364.42,0,4.74,15.0,2293.85,39.38,Modern
Turboprop,32356.24,500.0,1000.0,291.04,16583.93,1469.28,853.09,27748.41,0.39,10.66,11505.38,0,23.72,30.0,11142.24,30.72,Modern
Turboprop,24050.24,3000.0,1000.0,288.26,18778.88,1383.41,805.61,22145.15,0.27,12.43,11151.61,0,35.44,15.0,6204.22,23.67,Modern
Jet,92872.36,15000.0,1000.0,483.94,35388.29,1808.64,1211.04,75855.36,0.63,14.15,36240.2,120,18.82,80.0,28719.66,10.28,Modern
Jet,77205.94,2000.0,4863.96,396.85,36263.74,2423.42,1743.96,62861.29,0.6,17.02,32565.72,240,26.57,30.0,31249.26,16.92,Legacy
Turboprop,23445.65,3000.0,1000.0,212.06,24383.47,1285.31,865.51,21907.1,0.45,10.15,9721.43,0,21.0,30.0,1819.35,28.09,Legacy
Turboprop,25175.63,500.0,1000.0,190.86,18906.9,1686.64,1140.15,21765.04,0.46,12.22,11904.43,0,25.16,15.0,2874.41,5.22,Modern
Jet,84241.64,9259.58,1352.96,479.62,33135.89,2248.75,1132.67,69575.05,0.62,16.86,33797.66,330,54.5,30.0,26415.93,39.28,Modern
Turboprop,23046.19,1078.87,1000.0,264.4,17985.61,1550.47,782.13,21584.88,0.29,13.12,10203.26,0,20.46,30.0,6131.08,25.19,Legacy
Jet,94905.4,2000.0,1000.0,506.11,36286.4,2954.65,1895.09,76010.92,0.45,19.01,36055.63,60,33.9,80.0,21928.42,14.0,Modern
Jet,92742.15,2000.0,10000.0,406.36,36691.5,2467.03,1810.77,84715.3,0.58,13.62,31844.24,330,45.64,80.0,43465.01,37.06,Modern
Jet,99062.16,12253.08,1000.0,423.35,36919.71,2357.62,1545.18,88070.42,0.51,16.51,40201.6,60,61.63,80.0,25520.01,17.6,Modern
Jet,103076.87,15000.0,10000.0,466.48,34315.66,2213.4,1324.04,83982.68,0.49,14.12,24825.13,240,59.42,30.0,20000.0,0.79,Modern
Jet,73594.45,6080.11,5341.52,418.78,34223.66,1528.21,971.8,64926.35,0.69,16.73,16816.04,240,33.4,30.0,20000.0,12.83,Modern
Jet,68066.03,6682.16,2301.05,505.66,34805.26,2421.26,1913.62,58833.87,0.48,17.82,28395.57,240,44.11,30.0,20000.0,1.36,Modern
Turboprop,19729.97,2573.93,1000.0,237.58,19833.86,1272.38,911.02,17796.39,0.4,14.19,4628.4,0,21.29,30.0,4145.55,37.11,Legacy
Jet,113115.08,3149.5,1000.0,416.87,36227.57,1882.34,1229.25,95523.02,0.53,16.17,45280.21,120,48.53,80.0,45497.69,27.84,Modern
Jet,91547.17,4862.43,3206.81,484.37,37338.45,1699.58,1161.02,73569.13,0.49,12.79,21280.68,330,64.7,80.0,25577.86,25.64,Modern
Piston,5433.32,1091.46,20.0,125.15,8606.14,702.6,391.26,4448.84,0.5,11.06,1138.48,0,10.58,8.0,100.0,22.46,Modern
Jet,149957.54,2000.0,1000.0,491.37,34862.51,2451.11,1632.77,133152.67,0.67,12.75,66321.22,60,38.46,30.0,45648.17,2.15,Modern
Jet,52058.34,2000.0,6409.04,516.87,32862.26,2553.85,1782.13,47446.47,0.61,14.7,16765.87,330,37.13,80.0,20000.0,33.9,Legacy
Turboprop,24823.37,500.0,50.0,249.36,19965.44,1212.59,893.3,22845.18,0.45,10.93,8344.52,0,32.33,15.0,2956.28,23.8,Legacy
Jet,116674.78,4357.48,1000.0,550.42,30582.94,2366.98,1754.78,93962.96,0.49,16.2,44879.25,180,53.84,30.0,29363.63,18.09,Legacy
Jet,73660.03,2716.58,1000.0,486.2,37557.82,1647.08,1210.27,64667.21,0.73,15.58,23638.29,180,73.31,30.0,20000.0,37.86,Modern
Jet,113745.65,15000.0,1000.0,429.48,38541.81,1215.85,646.51,99267.73,0.51,14.1,32232.86,240,52.49,80.0,35296.62,16.54,Modern
Jet,129126.61,15000.0,10000.0,460.88,42255.17,2990.33,1946.01,122079.0,0.41,16.0,63611.83,120,29.5,80.0,38234.51,34.89,Legacy
Piston,6101.33,1482.23,200.0,91.65,11131.78,813.44,520.61,5035.71,0.45,12.87,1403.83,0,8.75,8.0,100.0,18.62,Modern
Turboprop,12369.58,1801.5,50.0,212.99,18681.84,1341.63,977.63,10878.28,0.35,12.42,2968.93,0,13.47,30.0,4226.47,35.2,Modern
Turboprop,21015.0,500.0,50.0,268.31,17832.4,1855.12,1339.65,18188.83,0.43,13.01,7017.82,0,25.92,30.0,1445.3,22.79,Modern
Turboprop,25808.57,2292.68,1000.0,266.68,20294.65,1143.16,644.94,24462.96,0.43,14.05,7786.32,0,24.76,30.0,8567.1,15.19,Legacy
Turboprop,28528.97,500.0,270.78,258.25,14383.51,1452.7,1113.69,27056.21,0.34,9.26,8512.61,0,38.09,15.0,4929.15,0.69,Legacy
Jet,75299.59,2000.0,1000.0,448.68,34617.14,2446.4,1654.28,61824.62,0.54,16.19,32763.67,120,37.74,80.0,22091.65,4.5,Legacy
Turboprop,22272.51,500.0,397.62,260.57,22922.05,1500.74,960.62,20029.4,0.42,10.08,9880.31,0,24.19,15.0,1882.26,2.57,Modern
Jet,85100.47,12961.18,7710.9,409.29,31504.39,1269.85,933.32,74172.86,0.57,11.86,25354.99,180,41.34,80.0,24807.88,3.11,Modern
Turboprop,21649.29,925.35,1000.0,236.75,20179.47,1678.9,1066.97,19110.34,0.45,11.4,4432.31,0,20.85,30.0,3821.4,27.27,Modern
Turboprop,20361.69,500.0,1000.0,289.04,16402.72,1580.44,1046.5,17217.4,0.32,11.24,7594.28,0,15.0,30.0,5135.32,27.42,Modern
Jet,105289.02,2000.0,1000.0,375.43,31391.23,1814.29,1160.76,86607.3,0.65,15.75,42506.35,330,46.88,80.0,31044.37,23.74,Modern
Jet,137712.55,2000.0,10000.0,448.88,36837.2,1493.76,850.83,129034.84,0.5,15.23,56254.14,330,50.04,80.0,56747.01,12.34,Legacy
Jet,82809.07,12506.25,1000.0,422.98,27543.01,1480.25,932.0,75954.06,0.47,17.32,31337.67,330,23.45,30.0,29477.54,30.27,Modern
Jet,65230.62,2000.0,1000.0,470.86,37529.47,881.6,660.36,53048.6,0.65,14.2,14313.66,180,60.08,30.0,20000.0,29.55,Modern
Turboprop,16804.03,1081.72,1000.0,230.75,18861.3,1677.5,1261.52,15372.75,0.36,15.08,7427.62,0,7.98,15.0,4294.68,39.3,Modern
Turboprop,27496.38,1090.24,1000.0,293.75,20162.75,1145.56,591.52,24488.58,0.28,12.65,8832.0,0,29.94,15.0,6187.08,0.65,Modern
Jet,64023.87,6707.76,6687.04,395.28,34579.17,1832.24,1404.9,51694.33,0.58,15.25,25586.62,330,80.32,30.0,26770.12,11.85,Modern
Jet,142177.23,2000.0,10000.0,430.52,34927.04,1721.42,1134.93,126817.58,0.71,17.12,66026.74,330,78.28,80.0,24763.51,23.44,Legacy
Jet,124152.51,2000.0,3337.68,490.68,37171.92,2449.45,1594.89,105112.09,0.56,21.09,30855.87,60,34.34,30.0,32990.64,22.87,Modern
Jet,92352.48,15000.0,1175.33,521.53,38131.87,3017.03,1893.88,79252.19,0.59,13.87,33770.03,330,86.03,80.0,35632.09,22.31,Modern
Jet,25643.9,2000.0,4295.76,429.56,41588.27,1482.62,1130.09,22732.44,0.52,15.18,10675.72,60,67.85,80.0,20000.0,28.92,Modern
Jet,158756.92,15000.0,1000.0,439.16,33714.65,2328.44,1668.5,132133.32,0.36,14.28,67301.15,240,75.45,80.0,52512.59,16.16,Modern
Piston,3480.97,300.0,20.0,109.93,10525.94,848.78,483.87,2936.54,0.44,9.34,1464.78,0,20.18,8.0,100.0,31.75,Modern
Jet,93273.72,15000.0,10000.0,415.2,40977.1,2500.7,1702.69,77674.95,0.5,10.87,42811.8,60,70.16,30.0,20000.0,26.39,Legacy
Jet,85468.28,2000.0,2833.26,397.46,34067.62,2243.38,1519.79,73851.47,0.65,13.12,35915.41,180,77.22,30.0,30119.38,28.89,Modern
Turboprop,20323.96,2124.87,91.08,198.86,19833.73,1747.03,1045.56,17652.31,0.45,11.54,8100.46,0,16.87,30.0,2964.66,22.02,Modern
Jet,126020.6,15000.0,7457.14,416.39,35826.99,2283.07,1610.66,111394.93,0.58,12.35,61640.78,120,52.37,80.0,31372.77,29.37,Legacy
Piston,6091.13,950.92,20.0,106.87,11298.34,1008.21,537.59,4890.66,0.64,12.68,2683.65,0,24.29,8.0,100.0,29.07,Legacy
Piston,6806.13,1500.0,186.94,161.63,11359.33,638.61,368.88,6439.98,0.52,11.25,1992.75,0,23.56,8.0,100.0,23.46,Modern
Jet,88801.88,2000.0,10000.0,422.74,33338.26,2357.09,1670.03,80250.48,0.7,18.56,31642.67,330,36.97,30.0,24767.56,39.08,Modern
Jet,93421.67,15000.0,10000.0,412.38,32696.49,1271.4,947.35,75477.58,0.42,14.33,41804.71,60,34.94,30.0,29412.53,19.25,Modern
Jet,66312.56,8615.41,1000.0,436.02,34618.4,2236.41,1331.67,62987.08,0.28,15.76,25207.84,60,40.84,80.0,20000.0,4.02,Legacy
Jet,106099.65,2000.0,10000.0,346.57,37020.43,1486.62,1093.99,100335.91,0.54,14.45,38496.35,120,104.3,80.0,36198.36,19.68,Legacy
Jet,53410.91,2000.0,4641.69,384.89,31272.16,1132.42,896.62,50192.43,0.6,14.05,24351.82,180,57.38,80.0,20000.0,16.0,Legacy
Turboprop,26414.95,2435.67,50.0,246.55,17492.51,1565.02,924.64,23606.72,0.4,12.17,7629.39,0,31.14,30.0,7605.27,31.79,Legacy
Jet,100143.92,4448.22,2123.68,457.6,34237.25,983.93,637.72,81721.33,0.69,17.91,44457.5,240,87.62,30.0,32080.25,31.45,Legacy
Jet,114673.92,7513.1,5726.72,509.83,39548.35,1246.22,783.34,107899.23,0.55,12.19,35263.41,330,67.93,30.0,30268.27,25.28,Legacy
Jet,17787.21,3408.34,1000.0,346.93,36291.09,2637.33,2031.9,15644.37,0.64,16.88,7194.97,180,62.97,30.0,20000.0,8.26,Modern
Piston,5789.9,1382.34,20.0,126.28,9604.76,817.43,586.73,4736.09,0.48,11.77,2147.57,0,-3.91,8.0,100.0,39.06,Modern
Jet,150886.91,15000.0,1000.0,462.83,31867.02,2220.21,1325.37,139155.63,0.56,16.06,38494.52,60,34.63,80.0,45358.59,20.46,Modern
Jet,93150.34,11325.73,4524.6,440.18,32591.4,2017.38,1381.45,82513.62,0.52,15.56,40697.43,120,39.72,30.0,27850.01,9.47,Legacy
Jet,115710.39,11898.28,10000.0,475.57,33742.44,1762.25,1100.14,101941.99,0.54,15.12,53233.96,60,57.06,80.0,39347.35,38.13,Modern
Piston,4859.59,733.42,20.0,104.98,9001.43,521.6,330.3,4279.35,0.46,11.59,1896.85,0,17.28,8.0,293.09,25.64,Legacy
Jet,137000.27,4702.75,10000.0,396.35,36442.63,2172.47,1463.73,130126.51,0.55,15.2,38685.01,330,39.55,30.0,50880.22,1.3,Legacy
Turboprop,24341.15,500.0,50.0,231.41,19873.95,1564.77,971.91,21935.42,0.48,12.18,11165.63,0,21.82,30.0,6892.3,38.02,Modern
Turboprop,13429.0,1767.48,1000.0,226.76,18934.79,2068.65,1283.39,12143.11,0.39,11.21,3370.03,0,8.73,30.0,2595.81,4.25,Legacy
Jet,95341.92,2000.0,1000.0,440.72,32123.31,1681.72,1208.51,83127.8,0.62,14.5,35283.16,120,61.25,80.0,22256.47,27.39,Legacy
Turboprop,14483.82,1805.11,50.0,250.1,21766.2,1179.0,889.35,13596.43,0.38,13.72,3014.84,0,0.85,15.0,4342.78,10.53,Legacy
Jet,66424.41,13005.5,1000.0,484.62,29674.04,748.47,511.38,62548.53,0.59,13.87,27549.86,180,34.18,30.0,22123.4,1.81,Modern
Turboprop,24366.98,500.0,50.0,253.55,17736.23,1819.4,1125.66,19680.98,0.51,12.39,9937.89,0,6.78,15.0,3285.43,21.28,Modern
Turboprop,25448.15,1121.54,1000.0,224.22,19059.49,1949.56,1471.42,22283.07,0.39,11.88,6888.63,0,13.72,15.0,4928.53,22.75,Modern
Jet,93993.0,2000.0,5770.21,595.85,36436.54,2009.25,1520.2,77285.3,0.68,13.09,24149.53,180,60.14,80.0,31934.38,37.06,Modern
Jet,42175.53,2000.0,6128.25,473.16,32009.74,1048.07,621.88,35325.22,0.54,11.67,19190.37,180,28.84,80.0,20000.0,29.06,Modern
Turboprop,21540.96,3000.0,50.0,227.75,17080.86,1543.83,956.54,18326.39,0.4,10.86,8396.66,0,0.84,15.0,4342.97,4.85,Modern
Jet,40156.62,2741.58,1906.43,459.04,34746.27,1770.07,1277.27,32254.44,0.5,15.19,19581.81,240,46.45,30.0,20000.0,13.07,Modern
Jet,105803.96,15000.0,10000.0,470.93,29186.08,1641.76,1041.19,90602.7,0.72,16.21,44003.5,330,61.65,30.0,20560.91,0.89,Modern
Jet,89206.44,15000.0,1000.0,458.82,37031.96,2125.35,1404.71,74221.29,0.66,13.19,40197.2,120,80.83,30.0,27094.62,21.64,Legacy
Jet,140019.95,8716.25,10000.0,430.42,29352.44,2246.0,1721.06,122089.66,0.44,18.66,42245.22,120,63.39,30.0,40907.8,22.86,Modern
Turboprop,17943.7,1696.79,50.0,248.14,20456.96,1474.15,1066.05,15476.45,0.37,12.05,8198.69,0,11.05,15.0,5617.32,14.26,Legacy
Jet,52417.14,2709.56,1585.12,483.62,40529.95,2731.19,1579.31,49019.38,0.32,15.71,10803.29,60,68.07,80.0,20000.0,28.99,Modern
